Wavelength,Transmission
4117.0,0.637127
4118.0,0.637732
4119.0,0.638321
4120.0,0.6389
4121.0,0.639476
4122.0,0.640054
4123.0,0.640639
4124.0,0.641234
4125.0,0.641845
4126.0,0.642477
4127.0,0.643133
4128.0,0.64382
4129.0,0.64454
4130.0,0.6453
4131.0,0.646103
4132.0,0.646951
4133.0,0.647845
4134.0,0.648786
4135.0,0.649776
4136.0,0.650816
4137.0,0.651907
4138.0,0.653051
4139.0,0.654248
4140.0,0.6555
4141.0,0.656807
4142.0,0.658168
4143.0,0.659578
4144.0,0.661036
4145.0,0.662538
4146.0,0.66408
4147.0,0.665661
4148.0,0.667276
4149.0,0.668924
4150.0,0.6706
4151.0,0.672302
4152.0,0.674027
4153.0,0.67577
4154.0,0.677529
4155.0,0.679299
4156.0,0.681077
4157.0,0.68286
4158.0,0.684644
4159.0,0.686425
4160.0,0.6882
4161.0,0.689965
4162.0,0.691718
4163.0,0.693454
4164.0,0.695172
4165.0,0.696867
4166.0,0.698537
4167.0,0.700178
4168.0,0.701788
4169.0,0.703363
4170.0,0.7049
4171.0,0.706396
4172.0,0.707851
4173.0,0.709264
4174.0,0.710633
4175.0,0.711958
4176.0,0.713239
4177.0,0.714474
4178.0,0.715663
4179.0,0.716805
4180.0,0.7179
4181.0,0.718947
4182.0,0.719949
4183.0,0.720909
4184.0,0.721829
4185.0,0.722713
4186.0,0.723565
4187.0,0.724386
4188.0,0.72518
4189.0,0.725951
4190.0,0.7267
4191.0,0.727432
4192.0,0.728148
4193.0,0.728853
4194.0,0.729549
4195.0,0.730238
4196.0,0.730925
4197.0,0.731611
4198.0,0.732301
4199.0,0.732996
4200.0,0.7337
4201.0,0.734415
4202.0,0.735142
4203.0,0.735879
4204.0,0.736627
4205.0,0.737384
4206.0,0.73815
4207.0,0.738926
4208.0,0.73971
4209.0,0.740501
4210.0,0.7413
4211.0,0.742106
4212.0,0.742918
4213.0,0.743736
4214.0,0.74456
4215.0,0.745389
4216.0,0.746223
4217.0,0.747061
4218.0,0.747904
4219.0,0.74875
4220.0,0.7496
4221.0,0.750452
4222.0,0.751304
4223.0,0.752152
4224.0,0.752993
4225.0,0.753823
4226.0,0.754639
4227.0,0.755439
4228.0,0.756217
4229.0,0.756972
4230.0,0.7577
4231.0,0.758397
4232.0,0.75906
4233.0,0.759685
4234.0,0.760268
4235.0,0.760807
4236.0,0.761297
4237.0,0.761735
4238.0,0.762117
4239.0,0.76244
4240.0,0.7627
4241.0,0.762894
4242.0,0.763021
4243.0,0.763081
4244.0,0.763074
4245.0,0.762999
4246.0,0.762857
4247.0,0.762646
4248.0,0.762366
4249.0,0.762018
4250.0,0.7616
4251.0,0.761113
4252.0,0.760559
4253.0,0.759939
4254.0,0.759255
4255.0,0.758508
4256.0,0.757701
4257.0,0.756835
4258.0,0.755911
4259.0,0.754932
4260.0,0.7539
4261.0,0.752816
4262.0,0.751687
4263.0,0.750517
4264.0,0.749313
4265.0,0.748081
4266.0,0.746826
4267.0,0.745555
4268.0,0.744273
4269.0,0.742986
4270.0,0.7417
4271.0,0.740421
4272.0,0.739152
4273.0,0.737897
4274.0,0.73666
4275.0,0.735444
4276.0,0.734252
4277.0,0.733088
4278.0,0.731956
4279.0,0.730859
4280.0,0.7298
4281.0,0.728784
4282.0,0.727815
4283.0,0.726898
4284.0,0.72604
4285.0,0.725245
4286.0,0.724518
4287.0,0.723864
4288.0,0.72329
4289.0,0.7228
4290.0,0.7224
4291.0,0.722094
4292.0,0.721883
4293.0,0.72177
4294.0,0.721756
4295.0,0.721841
4296.0,0.722026
4297.0,0.722314
4298.0,0.722704
4299.0,0.723199
4300.0,0.7238
4301.0,0.724506
4302.0,0.725317
4303.0,0.726228
4304.0,0.727238
4305.0,0.728343
4306.0,0.72954
4307.0,0.730828
4308.0,0.732202
4309.0,0.73366
4310.0,0.7352
4311.0,0.736818
4312.0,0.73851
4313.0,0.740274
4314.0,0.742105
4315.0,0.744
4316.0,0.745955
4317.0,0.747966
4318.0,0.75003
4319.0,0.752142
4320.0,0.7543
4321.0,0.756499
4322.0,0.758735
4323.0,0.761001
4324.0,0.763294
4325.0,0.765607
4326.0,0.767935
4327.0,0.770274
4328.0,0.772618
4329.0,0.774962
4330.0,0.7773
4331.0,0.779627
4332.0,0.781938
4333.0,0.784224
4334.0,0.78648
4335.0,0.788698
4336.0,0.790873
4337.0,0.792997
4338.0,0.795064
4339.0,0.797067
4340.0,0.799
4341.0,0.800856
4342.0,0.802633
4343.0,0.804326
4344.0,0.805933
4345.0,0.807451
4346.0,0.808877
4347.0,0.810208
4348.0,0.811441
4349.0,0.812572
4350.0,0.8136
4351.0,0.814521
4352.0,0.815337
4353.0,0.816047
4354.0,0.816655
4355.0,0.81716
4356.0,0.817565
4357.0,0.81787
4358.0,0.818076
4359.0,0.818186
4360.0,0.8182
4361.0,0.81812
4362.0,0.81795
4363.0,0.817694
4364.0,0.817358
4365.0,0.816946
4366.0,0.816462
4367.0,0.81591
4368.0,0.815297
4369.0,0.814625
4370.0,0.8139
4371.0,0.813126
4372.0,0.81231
4373.0,0.811455
4374.0,0.810569
4375.0,0.809657
4376.0,0.808724
4377.0,0.807776
4378.0,0.806819
4379.0,0.805859
4380.0,0.8049
4381.0,0.803949
4382.0,0.803009
4383.0,0.802085
4384.0,0.801181
4385.0,0.800301
4386.0,0.799449
4387.0,0.798628
4388.0,0.797844
4389.0,0.7971
4390.0,0.7964
4391.0,0.795748
4392.0,0.795146
4393.0,0.794597
4394.0,0.794102
4395.0,0.793664
4396.0,0.793285
4397.0,0.792967
4398.0,0.792712
4399.0,0.792522
4400.0,0.7924
4401.0,0.792347
4402.0,0.792363
4403.0,0.792449
4404.0,0.792605
4405.0,0.79283
4406.0,0.793125
4407.0,0.793489
4408.0,0.793923
4409.0,0.794427
4410.0,0.795
4411.0,0.795642
4412.0,0.796351
4413.0,0.797122
4414.0,0.797953
4415.0,0.798841
4416.0,0.79978
4417.0,0.80077
4418.0,0.801805
4419.0,0.802883
4420.0,0.804
4421.0,0.805153
4422.0,0.80634
4423.0,0.807559
4424.0,0.808807
4425.0,0.810083
4426.0,0.811384
4427.0,0.812708
4428.0,0.814054
4429.0,0.815418
4430.0,0.8168
4431.0,0.818196
4432.0,0.819603
4433.0,0.821016
4434.0,0.82243
4435.0,0.823841
4436.0,0.825245
4437.0,0.826638
4438.0,0.828014
4439.0,0.829369
4440.0,0.8307
4441.0,0.832002
4442.0,0.833272
4443.0,0.834509
4444.0,0.835711
4445.0,0.836878
4446.0,0.838005
4447.0,0.839093
4448.0,0.84014
4449.0,0.841142
4450.0,0.8421
4451.0,0.843011
4452.0,0.843874
4453.0,0.84469
4454.0,0.845456
4455.0,0.846174
4456.0,0.846841
4457.0,0.847458
4458.0,0.848024
4459.0,0.848538
4460.0,0.849
4461.0,0.849409
4462.0,0.849767
4463.0,0.850074
4464.0,0.850332
4465.0,0.850541
4466.0,0.850703
4467.0,0.850819
4468.0,0.850889
4469.0,0.850916
4470.0,0.8509
4471.0,0.850842
4472.0,0.850745
4473.0,0.85061
4474.0,0.85044
4475.0,0.850237
4476.0,0.850003
4477.0,0.84974
4478.0,0.849451
4479.0,0.849136
4480.0,0.8488
4481.0,0.848443
4482.0,0.848069
4483.0,0.847681
4484.0,0.847281
4485.0,0.846872
4486.0,0.846458
4487.0,0.84604
4488.0,0.845623
4489.0,0.845209
4490.0,0.8448
4491.0,0.8444
4492.0,0.844011
4493.0,0.843636
4494.0,0.843277
4495.0,0.842937
4496.0,0.842617
4497.0,0.842322
4498.0,0.842052
4499.0,0.84181
4500.0,0.8416
4501.0,0.841423
4502.0,0.841279
4503.0,0.841168
4504.0,0.841089
4505.0,0.841044
4506.0,0.841031
4507.0,0.84105
4508.0,0.841102
4509.0,0.841185
4510.0,0.8413
4511.0,0.841447
4512.0,0.841624
4513.0,0.841832
4514.0,0.842071
4515.0,0.842338
4516.0,0.842635
4517.0,0.84296
4518.0,0.843313
4519.0,0.843693
4520.0,0.8441
4521.0,0.844534
4522.0,0.844993
4523.0,0.845477
4524.0,0.845985
4525.0,0.846516
4526.0,0.847071
4527.0,0.847647
4528.0,0.848244
4529.0,0.848862
4530.0,0.8495
4531.0,0.850156
4532.0,0.850829
4533.0,0.851516
4534.0,0.852215
4535.0,0.852922
4536.0,0.853635
4537.0,0.854352
4538.0,0.85507
4539.0,0.855787
4540.0,0.8565
4541.0,0.857207
4542.0,0.857906
4543.0,0.858599
4544.0,0.859283
4545.0,0.859959
4546.0,0.860627
4547.0,0.861285
4548.0,0.861934
4549.0,0.862572
4550.0,0.8632
4551.0,0.863817
4552.0,0.864423
4553.0,0.865016
4554.0,0.865597
4555.0,0.866166
4556.0,0.866721
4557.0,0.867263
4558.0,0.86779
4559.0,0.868303
4560.0,0.8688
4561.0,0.869282
4562.0,0.869747
4563.0,0.870196
4564.0,0.870627
4565.0,0.871039
4566.0,0.871433
4567.0,0.871806
4568.0,0.872159
4569.0,0.87249
4570.0,0.8728
4571.0,0.873087
4572.0,0.873352
4573.0,0.873597
4574.0,0.873821
4575.0,0.874027
4576.0,0.874214
4577.0,0.874384
4578.0,0.874538
4579.0,0.874676
4580.0,0.8748
4581.0,0.87491
4582.0,0.875008
4583.0,0.875095
4584.0,0.875172
4585.0,0.875241
4586.0,0.875302
4587.0,0.875357
4588.0,0.875408
4589.0,0.875455
4590.0,0.8755
4591.0,0.875544
4592.0,0.875588
4593.0,0.875631
4594.0,0.875676
4595.0,0.875723
4596.0,0.875771
4597.0,0.875823
4598.0,0.875878
4599.0,0.875936
4600.0,0.876
4601.0,0.876069
4602.0,0.876143
4603.0,0.876224
4604.0,0.876311
4605.0,0.876406
4606.0,0.876508
4607.0,0.876618
4608.0,0.876736
4609.0,0.876863
4610.0,0.877
4611.0,0.877146
4612.0,0.877302
4613.0,0.877466
4614.0,0.877638
4615.0,0.877817
4616.0,0.878003
4617.0,0.878195
4618.0,0.878392
4619.0,0.878594
4620.0,0.8788
4621.0,0.87901
4622.0,0.879223
4623.0,0.879438
4624.0,0.879657
4625.0,0.879877
4626.0,0.880099
4627.0,0.880323
4628.0,0.880548
4629.0,0.880774
4630.0,0.881
4631.0,0.881227
4632.0,0.881454
4633.0,0.881683
4634.0,0.881915
4635.0,0.88215
4636.0,0.882389
4637.0,0.882632
4638.0,0.882882
4639.0,0.883137
4640.0,0.8834
4641.0,0.88367
4642.0,0.883947
4643.0,0.884228
4644.0,0.884512
4645.0,0.884799
4646.0,0.885085
4647.0,0.88537
4648.0,0.885652
4649.0,0.885929
4650.0,0.8862
4651.0,0.886464
4652.0,0.88672
4653.0,0.886969
4654.0,0.88721
4655.0,0.887443
4656.0,0.88767
4657.0,0.887888
4658.0,0.888099
4659.0,0.888303
4660.0,0.8885
4661.0,0.888689
4662.0,0.888871
4663.0,0.889047
4664.0,0.889215
4665.0,0.889378
4666.0,0.889534
4667.0,0.889684
4668.0,0.889828
4669.0,0.889967
4670.0,0.8901
4671.0,0.890228
4672.0,0.890352
4673.0,0.890471
4674.0,0.890585
4675.0,0.890696
4676.0,0.890803
4677.0,0.890907
4678.0,0.891007
4679.0,0.891105
4680.0,0.8912
4681.0,0.891293
4682.0,0.891384
4683.0,0.891474
4684.0,0.891563
4685.0,0.891651
4686.0,0.891739
4687.0,0.891828
4688.0,0.891917
4689.0,0.892008
4690.0,0.8921
4691.0,0.892194
4692.0,0.89229
4693.0,0.892388
4694.0,0.892487
4695.0,0.892587
4696.0,0.892689
4697.0,0.892791
4698.0,0.892894
4699.0,0.892997
4700.0,0.8931
4701.0,0.893203
4702.0,0.893307
4703.0,0.893411
4704.0,0.893517
4705.0,0.893624
4706.0,0.893733
4707.0,0.893845
4708.0,0.89396
4709.0,0.894078
4710.0,0.8942
4711.0,0.894326
4712.0,0.894456
4713.0,0.894589
4714.0,0.894726
4715.0,0.894866
4716.0,0.895009
4717.0,0.895154
4718.0,0.895301
4719.0,0.89545
4720.0,0.8956
4721.0,0.895751
4722.0,0.895903
4723.0,0.896054
4724.0,0.896203
4725.0,0.896349
4726.0,0.896491
4727.0,0.896628
4728.0,0.896759
4729.0,0.896884
4730.0,0.897
4731.0,0.897107
4732.0,0.897206
4733.0,0.897296
4734.0,0.897378
4735.0,0.897451
4736.0,0.897516
4737.0,0.897574
4738.0,0.897623
4739.0,0.897665
4740.0,0.8977
4741.0,0.897728
4742.0,0.897748
4743.0,0.897762
4744.0,0.89777
4745.0,0.897772
4746.0,0.897768
4747.0,0.897758
4748.0,0.897744
4749.0,0.897724
4750.0,0.8977
4751.0,0.897671
4752.0,0.897638
4753.0,0.897601
4754.0,0.897558
4755.0,0.897511
4756.0,0.897459
4757.0,0.897402
4758.0,0.89734
4759.0,0.897273
4760.0,0.8972
4761.0,0.897122
4762.0,0.897037
4763.0,0.896944
4764.0,0.896843
4765.0,0.896733
4766.0,0.896611
4767.0,0.896479
4768.0,0.896333
4769.0,0.896174
4770.0,0.896
4771.0,0.895811
4772.0,0.895608
4773.0,0.895392
4774.0,0.895167
4775.0,0.894933
4776.0,0.894692
4777.0,0.894447
4778.0,0.894199
4779.0,0.893949
4780.0,0.8937
4781.0,0.893453
4782.0,0.89321
4783.0,0.892971
4784.0,0.892738
4785.0,0.89251
4786.0,0.89229
