Wavelength,Transmission
6868.0,0.197507
6869.0,0.20054
6870.0,0.2036
6871.0,0.206688
6872.0,0.209803
6873.0,0.212946
6874.0,0.216116
6875.0,0.219313
6876.0,0.222537
6877.0,0.225788
6878.0,0.229065
6879.0,0.232369
6880.0,0.2357
6881.0,0.239057
6882.0,0.24244
6883.0,0.245849
6884.0,0.249283
6885.0,0.252742
6886.0,0.256225
6887.0,0.259733
6888.0,0.263265
6889.0,0.266821
6890.0,0.2704
6891.0,0.274002
6892.0,0.277626
6893.0,0.281273
6894.0,0.284942
6895.0,0.288632
6896.0,0.292344
6897.0,0.296077
6898.0,0.299831
6899.0,0.303605
6900.0,0.3074
6901.0,0.311214
6902.0,0.315047
6903.0,0.318896
6904.0,0.322762
6905.0,0.326641
6906.0,0.330533
6907.0,0.334436
6908.0,0.33835
6909.0,0.342271
6910.0,0.3462
6911.0,0.350134
6912.0,0.354074
6913.0,0.358017
6914.0,0.361965
6915.0,0.365916
6916.0,0.369869
6917.0,0.373825
6918.0,0.377783
6919.0,0.381741
6920.0,0.3857
6921.0,0.389659
6922.0,0.393619
6923.0,0.397582
6924.0,0.401549
6925.0,0.40552
6926.0,0.409498
6927.0,0.413484
6928.0,0.417479
6929.0,0.421484
6930.0,0.4255
6931.0,0.429529
6932.0,0.433568
6933.0,0.437616
6934.0,0.441669
6935.0,0.445727
6936.0,0.449787
6937.0,0.453846
6938.0,0.457903
6939.0,0.461955
6940.0,0.466
6941.0,0.470036
6942.0,0.474063
6943.0,0.47808
6944.0,0.482086
6945.0,0.486083
6946.0,0.490069
6947.0,0.494044
6948.0,0.498007
6949.0,0.50196
6950.0,0.5059
6951.0,0.509829
6952.0,0.513745
6953.0,0.517651
6954.0,0.521545
6955.0,0.525429
6956.0,0.529302
6957.0,0.533166
6958.0,0.53702
6959.0,0.540864
6960.0,0.5447
6961.0,0.548527
6962.0,0.552344
6963.0,0.55615
6964.0,0.559945
6965.0,0.563726
6966.0,0.567494
6967.0,0.571246
6968.0,0.574982
6969.0,0.5787
6970.0,0.5824
6971.0,0.58608
6972.0,0.58974
6973.0,0.593379
6974.0,0.596996
6975.0,0.600591
6976.0,0.604162
6977.0,0.607709
6978.0,0.611232
6979.0,0.614729
6980.0,0.6182
6981.0,0.621644
6982.0,0.625063
6983.0,0.628456
6984.0,0.631826
6985.0,0.635173
6986.0,0.638498
6987.0,0.641802
6988.0,0.645087
6989.0,0.648352
6990.0,0.6516
6991.0,0.654831
6992.0,0.658044
6993.0,0.661238
6994.0,0.664413
6995.0,0.667567
6996.0,0.6707
6997.0,0.673811
6998.0,0.676898
6999.0,0.679962
7000.0,0.683
7001.0,0.686013
7002.0,0.689001
7003.0,0.691964
7004.0,0.694904
7005.0,0.697822
7006.0,0.700717
7007.0,0.703592
7008.0,0.706447
7009.0,0.709283
7010.0,0.7121
7011.0,0.714899
7012.0,0.717681
7013.0,0.720443
7014.0,0.723186
7015.0,0.725909
7016.0,0.728611
7017.0,0.731292
7018.0,0.733951
7019.0,0.736587
7020.0,0.7392
7021.0,0.741789
7022.0,0.744355
7023.0,0.746898
7024.0,0.749418
7025.0,0.751917
7026.0,0.754394
7027.0,0.756851
7028.0,0.759287
7029.0,0.761703
7030.0,0.7641
7031.0,0.766478
7032.0,0.768836
7033.0,0.771174
7034.0,0.77349
7035.0,0.775785
7036.0,0.778056
7037.0,0.780305
7038.0,0.782529
7039.0,0.784727
7040.0,0.7869
7041.0,0.789046
7042.0,0.791167
7043.0,0.793263
7044.0,0.795334
7045.0,0.797382
7046.0,0.799407
7047.0,0.801411
7048.0,0.803394
7049.0,0.805357
7050.0,0.8073
7051.0,0.809225
7052.0,0.811132
7053.0,0.813022
7054.0,0.814895
7055.0,0.816751
7056.0,0.818591
7057.0,0.820416
7058.0,0.822225
7059.0,0.82402
7060.0,0.8258
7061.0,0.827567
7062.0,0.829318
7063.0,0.831055
7064.0,0.832775
7065.0,0.834477
7066.0,0.836162
7067.0,0.837827
7068.0,0.839472
7069.0,0.841097
7070.0,0.8427
7071.0,0.84428
7072.0,0.845839
7073.0,0.847377
7074.0,0.848893
7075.0,0.85039
7076.0,0.851868
7077.0,0.853327
7078.0,0.854768
7079.0,0.856192
7080.0,0.8576
7081.0,0.858992
7082.0,0.860369
7083.0,0.861733
7084.0,0.863084
7085.0,0.864424
7086.0,0.865754
7087.0,0.867076
7088.0,0.86839
7089.0,0.869698
7090.0,0.871
7091.0,0.872298
7092.0,0.873591
7093.0,0.874877
7094.0,0.876156
7095.0,0.877426
7096.0,0.878686
7097.0,0.879935
7098.0,0.881171
7099.0,0.882393
7100.0,0.8836
7101.0,0.884791
7102.0,0.885966
7103.0,0.887123
7104.0,0.888262
7105.0,0.889384
7106.0,0.890486
7107.0,0.89157
7108.0,0.892633
7109.0,0.893677
7110.0,0.8947
7111.0,0.895702
7112.0,0.896684
7113.0,0.897648
7114.0,0.898595
7115.0,0.899527
7116.0,0.900444
7117.0,0.901349
7118.0,0.902242
7119.0,0.903125
7120.0,0.904
7121.0,0.904868
7122.0,0.905728
7123.0,0.906582
7124.0,0.90743
7125.0,0.908272
7126.0,0.909108
7127.0,0.909938
7128.0,0.910764
7129.0,0.911584
7130.0,0.9124
7131.0,0.913211
7132.0,0.914017
7133.0,0.914818
7134.0,0.915612
7135.0,0.916398
7136.0,0.917177
7137.0,0.917947
7138.0,0.918709
7139.0,0.91946
7140.0,0.9202
7141.0,0.920929
7142.0,0.921647
7143.0,0.922354
7144.0,0.92305
7145.0,0.923735
7146.0,0.924409
7147.0,0.925072
7148.0,0.925725
7149.0,0.926368
7150.0,0.927
7151.0,0.927622
7152.0,0.928235
7153.0,0.928839
7154.0,0.929435
7155.0,0.930025
7156.0,0.930609
7157.0,0.931187
7158.0,0.931761
7159.0,0.932332
7160.0,0.9329
7161.0,0.933466
7162.0,0.93403
7163.0,0.93459
7164.0,0.935148
7165.0,0.935702
7166.0,0.936252
7167.0,0.936797
7168.0,0.937337
7169.0,0.937871
7170.0,0.9384
7171.0,0.938922
7172.0,0.939437
7173.0,0.939946
7174.0,0.940447
7175.0,0.940942
7176.0,0.941429
7177.0,0.941908
7178.0,0.94238
7179.0,0.942844
7180.0,0.9433
7181.0,0.943748
7182.0,0.944188
7183.0,0.944621
7184.0,0.945048
7185.0,0.945468
7186.0,0.945883
7187.0,0.946294
7188.0,0.946699
7189.0,0.947101
7190.0,0.9475
7191.0,0.947896
7192.0,0.948289
7193.0,0.948678
7194.0,0.949064
7195.0,0.949447
7196.0,0.949826
7197.0,0.950201
7198.0,0.950572
7199.0,0.950938
7200.0,0.9513
7201.0,0.951657
7202.0,0.952009
7203.0,0.952358
7204.0,0.952702
7205.0,0.953043
7206.0,0.95338
7207.0,0.953714
7208.0,0.954045
7209.0,0.954374
7210.0,0.9547
7211.0,0.955024
7212.0,0.955345
7213.0,0.955663
7214.0,0.955975
7215.0,0.956282
7216.0,0.956582
7217.0,0.956875
7218.0,0.95716
7219.0,0.957435
7220.0,0.9577
7221.0,0.957954
7222.0,0.958198
7223.0,0.958433
7224.0,0.958659
7225.0,0.958879
7226.0,0.959092
7227.0,0.959299
7228.0,0.959503
7229.0,0.959702
7230.0,0.9599
7231.0,0.960096
7232.0,0.96029
7233.0,0.960481
7234.0,0.960669
7235.0,0.960853
7236.0,0.961033
7237.0,0.961208
7238.0,0.961378
7239.0,0.961542
7240.0,0.9617
7241.0,0.961851
7242.0,0.961995
7243.0,0.962134
7244.0,0.962267
7245.0,0.962396
7246.0,0.962522
7247.0,0.962644
7248.0,0.962764
7249.0,0.962883
7250.0,0.963
7251.0,0.963117
7252.0,0.963235
7253.0,0.963354
7254.0,0.963475
7255.0,0.963599
7256.0,0.963728
7257.0,0.963861
7258.0,0.964
