Wavelength,Transmission
5662.0,0.803876
5663.0,0.805973
5664.0,0.808042
5665.0,0.810078
5666.0,0.81208
5667.0,0.814045
5668.0,0.815972
5669.0,0.817858
5670.0,0.8197
5671.0,0.821497
5672.0,0.823249
5673.0,0.824956
5674.0,0.826619
5675.0,0.828239
5676.0,0.829815
5677.0,0.831349
5678.0,0.832841
5679.0,0.834291
5680.0,0.8357
5681.0,0.837069
5682.0,0.838396
5683.0,0.839683
5684.0,0.840928
5685.0,0.84213
5686.0,0.843291
5687.0,0.844408
5688.0,0.845483
5689.0,0.846513
5690.0,0.8475
5691.0,0.848443
5692.0,0.849341
5693.0,0.850196
5694.0,0.851008
5695.0,0.851777
5696.0,0.852505
5697.0,0.85319
5698.0,0.853834
5699.0,0.854437
5700.0,0.855
5701.0,0.855523
5702.0,0.856008
5703.0,0.856458
5704.0,0.856874
5705.0,0.85726
5706.0,0.857616
5707.0,0.857946
5708.0,0.858252
5709.0,0.858536
5710.0,0.8588
5711.0,0.859046
5712.0,0.859276
5713.0,0.859492
5714.0,0.859694
5715.0,0.859884
5716.0,0.860063
5717.0,0.860233
5718.0,0.860394
5719.0,0.86055
5720.0,0.8607
5721.0,0.860846
5722.0,0.860991
5723.0,0.861135
5724.0,0.861281
5725.0,0.861431
5726.0,0.861586
5727.0,0.861749
5728.0,0.861921
5729.0,0.862104
5730.0,0.8623
5731.0,0.862511
5732.0,0.862736
5733.0,0.862977
5734.0,0.863233
5735.0,0.863505
5736.0,0.863792
5737.0,0.864095
5738.0,0.864414
5739.0,0.864749
5740.0,0.8651
5741.0,0.865468
5742.0,0.865853
5743.0,0.866256
5744.0,0.86668
5745.0,0.867124
5746.0,0.867591
5747.0,0.86808
5748.0,0.868594
5749.0,0.869134
5750.0,0.8697
5751.0,0.870294
5752.0,0.870915
5753.0,0.871565
5754.0,0.872242
5755.0,0.872948
5756.0,0.873682
5757.0,0.874444
5758.0,0.875234
5759.0,0.876053
5760.0,0.8769
5761.0,0.877775
5762.0,0.878677
5763.0,0.879603
5764.0,0.880552
5765.0,0.881521
5766.0,0.882508
5767.0,0.883512
5768.0,0.88453
5769.0,0.88556
5770.0,0.8866
5771.0,0.887648
5772.0,0.888704
5773.0,0.889766
5774.0,0.890833
5775.0,0.891905
5776.0,0.892981
5777.0,0.894059
5778.0,0.895139
5779.0,0.896219
5780.0,0.8973
5781.0,0.89838
5782.0,0.899458
5783.0,0.900535
5784.0,0.90161
5785.0,0.902683
5786.0,0.903753
5787.0,0.90482
5788.0,0.905884
5789.0,0.906944
5790.0,0.908
5791.0,0.909052
5792.0,0.910096
5793.0,0.911132
5794.0,0.912155
5795.0,0.913164
5796.0,0.914156
5797.0,0.915128
5798.0,0.916077
5799.0,0.917002
5800.0,0.9179
5801.0,0.918768
5802.0,0.919606
5803.0,0.920413
5804.0,0.92119
5805.0,0.921936
5806.0,0.922652
5807.0,0.923336
5808.0,0.923989
5809.0,0.92461
5810.0,0.9252
5811.0,0.925758
5812.0,0.926285
5813.0,0.926782
5814.0,0.92725
5815.0,0.92769
5816.0,0.928103
5817.0,0.928489
5818.0,0.92885
5819.0,0.929187
5820.0,0.9295
5821.0,0.92979
5822.0,0.930058
5823.0,0.930301
5824.0,0.930521
5825.0,0.930715
5826.0,0.930885
5827.0,0.931029
5828.0,0.931146
5829.0,0.931237
5830.0,0.9313
5831.0,0.931336
5832.0,0.931344
5833.0,0.931325
5834.0,0.93128
5835.0,0.93121
5836.0,0.931116
5837.0,0.930996
5838.0,0.930854
5839.0,0.930688
5840.0,0.9305
5841.0,0.930291
5842.0,0.930063
5843.0,0.929821
5844.0,0.929567
5845.0,0.929305
5846.0,0.929039
5847.0,0.928772
5848.0,0.928508
5849.0,0.928249
5850.0,0.928
5851.0,0.927763
5852.0,0.927538
5853.0,0.927325
5854.0,0.927123
5855.0,0.926931
5856.0,0.926748
5857.0,0.926575
5858.0,0.926409
5859.0,0.926251
5860.0,0.9261
5861.0,0.925955
5862.0,0.925817
5863.0,0.925686
5864.0,0.925562
5865.0,0.925446
5866.0,0.925338
5867.0,0.92524
5868.0,0.92515
5869.0,0.92507
5870.0,0.925
5871.0,0.924941
5872.0,0.924894
5873.0,0.924862
5874.0,0.924845
5875.0,0.924847
5876.0,0.92487
5877.0,0.924914
5878.0,0.924983
5879.0,0.925077
5880.0,0.9252
5881.0,0.925352
5882.0,0.925532
5883.0,0.925739
5884.0,0.925971
5885.0,0.926226
5886.0,0.926504
5887.0,0.926801
5888.0,0.927118
5889.0,0.927451
5890.0,0.9278
5891.0,0.928163
5892.0,0.928539
5893.0,0.928929
5894.0,0.929332
5895.0,0.929747
5896.0,0.930174
5897.0,0.930614
5898.0,0.931065
5899.0,0.931527
5900.0,0.932
5901.0,0.932484
5902.0,0.932978
5903.0,0.933483
5904.0,0.933998
5905.0,0.934523
5906.0,0.935058
5907.0,0.935604
5908.0,0.936159
5909.0,0.936725
5910.0,0.9373
5911.0,0.937885
5912.0,0.938477
5913.0,0.939074
5914.0,0.939673
5915.0,0.940274
5916.0,0.940872
5917.0,0.941466
5918.0,0.942054
5919.0,0.942632
5920.0,0.9432
5921.0,0.943754
5922.0,0.944295
5923.0,0.944822
5924.0,0.945335
5925.0,0.945833
5926.0,0.946317
5927.0,0.946785
5928.0,0.947239
5929.0,0.947677
5930.0,0.9481
5931.0,0.948507
5932.0,0.948897
5933.0,0.949269
5934.0,0.949623
5935.0,0.949957
5936.0,0.950271
5937.0,0.950563
5938.0,0.950832
5939.0,0.951078
5940.0,0.9513
5941.0,0.951496
5942.0,0.951667
5943.0,0.95181
5944.0,0.951926
5945.0,0.952013
5946.0,0.952072
5947.0,0.9521
5948.0,0.952098
5949.0,0.952065
5950.0,0.952
5951.0,0.951902
5952.0,0.951773
5953.0,0.951612
5954.0,0.951422
5955.0,0.951202
5956.0,0.950954
5957.0,0.950679
5958.0,0.950378
5959.0,0.950051
5960.0,0.9497
5961.0,0.949325
5962.0,0.948927
5963.0,0.948505
5964.0,0.94806
5965.0,0.947591
5966.0,0.9471
5967.0,0.946584
5968.0,0.946046
5969.0,0.945485
5970.0,0.9449
5971.0,0.944293
5972.0,0.943664
5973.0,0.943016
5974.0,0.942351
5975.0,0.94167
5976.0,0.940976
5977.0,0.94027
5978.0,0.939554
5979.0,0.93883
5980.0,0.9381
5981.0,0.937366
5982.0,0.936628
5983.0,0.935888
5984.0,0.935146
5985.0,0.934403
5986.0,0.933659
5987.0,0.932917
5988.0,0.932175
5989.0,0.931436
5990.0,0.9307
5991.0,0.929967
5992.0,0.929239
5993.0,0.928515
5994.0,0.927796
5995.0,0.927082
5996.0,0.926373
5997.0,0.92567
5998.0,0.924973
5999.0,0.924283
6000.0,0.9236
6001.0,0.922924
6002.0,0.922257
6003.0,0.9216
6004.0,0.920954
6005.0,0.920321
6006.0,0.919702
6007.0,0.9191
6008.0,0.918514
6009.0,0.917947
6010.0,0.9174
6011.0,0.916874
6012.0,0.91637
6013.0,0.915887
6014.0,0.915425
6015.0,0.914985
6016.0,0.914565
6017.0,0.914167
6018.0,0.91379
6019.0,0.913435
6020.0,0.9131
6021.0,0.912786
6022.0,0.912495
6023.0,0.912225
6024.0,0.911978
6025.0,0.911753
6026.0,0.911553
6027.0,0.911377
6028.0,0.911226
6029.0,0.9111
6030.0,0.911
6031.0,0.910926
6032.0,0.910879
6033.0,0.910857
6034.0,0.91086
6035.0,0.910889
6036.0,0.910943
6037.0,0.911021
6038.0,0.911124
6039.0,0.91125
6040.0,0.9114
6041.0,0.911574
6042.0,0.91177
6043.0,0.911991
6044.0,0.912235
6045.0,0.912503
6046.0,0.912794
6047.0,0.91311
6048.0,0.913449
6049.0,0.913812
6050.0,0.9142
6051.0,0.914612
6052.0,0.915046
6053.0,0.915502
6054.0,0.915979
6055.0,0.916475
6056.0,0.916989
6057.0,0.91752
6058.0,0.918066
6059.0,0.918627
6060.0,0.9192
6061.0,0.919785
6062.0,0.920382
6063.0,0.920989
6064.0,0.921607
6065.0,0.922234
6066.0,0.922871
6067.0,0.923516
6068.0,0.92417
6069.0,0.924831
6070.0,0.9255
6071.0,0.926175
6072.0,0.926857
