#http://jwst.astro.umontreal.ca/?page_id=51

NIRISS Instrument Team Estimated Throughput. Source: Loic Albert.
First order is valid between 0.6 and 3.0 microns.
Second order is valid between 0.6 and 1.4 microns.
Third order is a highly uncertain guess lacking lab test.
---
     wavelength (nm)       T first order      T second order       T third order
               637.0            0.001085             0.08688            0.002323
               638.0            0.001090             0.08867            0.002286
               639.0            0.001095             0.09043            0.002249
               640.0            0.001105             0.09221            0.002204
               641.0            0.001118             0.09401            0.002158
               642.0            0.001133             0.09583            0.002113
               643.0            0.001153             0.09766            0.002069
               644.0            0.001177             0.09952            0.002024
               645.0            0.001205              0.1014            0.001982
               646.0            0.001238              0.1033            0.001940
               647.0            0.001275              0.1052            0.001897
               648.0            0.001316              0.1070            0.001854
               649.0            0.001363              0.1087            0.001812
               650.0            0.001416              0.1105            0.001769
               651.0            0.001459              0.1122            0.001727
               652.0            0.001507              0.1140            0.001687
               653.0            0.001558              0.1157            0.001645
               654.0            0.001614              0.1174            0.001606
               655.0            0.001676              0.1191            0.001568
               656.0            0.001742              0.1208            0.001529
               657.0            0.001812              0.1225            0.001493
               658.0            0.001891              0.1242            0.001457
               659.0            0.001974              0.1260            0.001421
               660.0            0.002062              0.1277            0.001389
               661.0            0.002155              0.1294            0.001353
               662.0            0.002255              0.1310            0.001313
               663.0            0.002361              0.1326            0.001274
               664.0            0.002470              0.1341            0.001240
               665.0            0.002586              0.1356            0.001205
               666.0            0.002709              0.1371            0.001171
               667.0            0.002841              0.1387            0.001139
               668.0            0.002979              0.1402            0.001107
               669.0            0.003122              0.1417            0.001078
               670.0            0.003275              0.1431            0.001049
               671.0            0.003432              0.1445            0.001020
               672.0            0.003599              0.1459           0.0009922
               673.0            0.003776              0.1474           0.0009666
               674.0            0.003958              0.1488           0.0009430
               675.0            0.004150              0.1502           0.0009163
               676.0            0.004347              0.1515           0.0008918
               677.0            0.004555              0.1529           0.0008666
               678.0            0.004774              0.1542           0.0008437
               679.0            0.004998              0.1556           0.0008176
               680.0            0.005236              0.1569           0.0007937
               681.0            0.005472              0.1580           0.0007687
               682.0            0.005719              0.1591           0.0007406
               683.0            0.005980              0.1602           0.0007036
               684.0            0.006250              0.1614           0.0006660
               685.0            0.006528              0.1625           0.0006279
               686.0            0.006817              0.1636           0.0005892
               687.0            0.007112              0.1646           0.0005500
               688.0            0.007419              0.1656           0.0005102
               689.0            0.007737              0.1667           0.0004698
               690.0            0.008068              0.1677           0.0004318
               691.0            0.008400              0.1685           0.0003931
               692.0            0.008743              0.1693           0.0003540
               693.0            0.009097              0.1701           0.0003174
               694.0            0.009458              0.1709           0.0002803
               695.0            0.009832              0.1716           0.0002428
               696.0             0.01022              0.1724           0.0002079
               697.0             0.01061              0.1730           0.0001756
               698.0             0.01102              0.1737           0.0001431
               699.0             0.01143              0.1744           0.0001132
               700.0             0.01186              0.1750           8.607E-05
               701.0             0.01226              0.1757           5.868E-05
               702.0             0.01266              0.1763           3.413E-05
               703.0             0.01308              0.1770           1.247E-05
               704.0             0.01351              0.1776               0.000
               705.0             0.01396              0.1782               0.000
               706.0             0.01440              0.1787               0.000
               707.0             0.01486              0.1792               0.000
               708.0             0.01532              0.1796               0.000
               709.0             0.01581              0.1800               0.000
               710.0             0.01630              0.1805               0.000
               711.0             0.01679              0.1808               0.000
               712.0             0.01730              0.1811               0.000
               713.0             0.01782              0.1814               0.000
               714.0             0.01835              0.1818               0.000
               715.0             0.01889              0.1820               0.000
               716.0             0.01943              0.1821               0.000
               717.0             0.02000              0.1824               0.000
               718.0             0.02057              0.1826               0.000
               719.0             0.02115              0.1827               0.000
               720.0             0.02173              0.1828               0.000
               721.0             0.02232              0.1829               0.000
               722.0             0.02291              0.1829               0.000
               723.0             0.02352              0.1829               0.000
               724.0             0.02414              0.1828               0.000
               725.0             0.02476              0.1828               0.000
               726.0             0.02540              0.1827               0.000
               727.0             0.02604              0.1826               0.000
               728.0             0.02668              0.1825               0.000
               729.0             0.02734              0.1823               0.000
               730.0             0.02800              0.1822               0.000
               731.0             0.02867              0.1819               0.000
               732.0             0.02935              0.1817               0.000
               733.0             0.03003              0.1815               0.000
               734.0             0.03072              0.1812               0.000
               735.0             0.03141              0.1809               0.000
               736.0             0.03212              0.1805               0.000
               737.0             0.03283              0.1802               0.000
               738.0             0.03354              0.1798               0.000
               739.0             0.03427              0.1795               0.000
               740.0             0.03499              0.1791               0.000
               741.0             0.03572              0.1786               0.000
               742.0             0.03645              0.1782               0.000
               743.0             0.03719              0.1777               0.000
               744.0             0.03793              0.1772               0.000
               745.0             0.03868              0.1767               0.000
               746.0             0.03944              0.1762               0.000
               747.0             0.04020              0.1756               0.000
               748.0             0.04096              0.1751               0.000
               749.0             0.04173              0.1745               0.000
               750.0             0.04250              0.1740               0.000
               751.0             0.04320              0.1733               0.000
               752.0             0.04391              0.1727               0.000
               753.0             0.04463              0.1720               0.000
               754.0             0.04536              0.1713               0.000
               755.0             0.04609              0.1706               0.000
               756.0             0.04682              0.1699               0.000
               757.0             0.04756              0.1692               0.000
               758.0             0.04830              0.1685               0.000
               759.0             0.04902              0.1677               0.000
               760.0             0.04974              0.1669               0.000
               761.0             0.05049              0.1661               0.000
               762.0             0.05125              0.1653               0.000
               763.0             0.05201              0.1646               0.000
               764.0             0.05277              0.1638               0.000
               765.0             0.05354              0.1630               0.000
               766.0             0.05430              0.1622               0.000
               767.0             0.05506              0.1613               0.000
               768.0             0.05584              0.1605               0.000
               769.0             0.05660              0.1596               0.000
               770.0             0.05738              0.1588               0.000
               771.0             0.05821              0.1581               0.000
               772.0             0.05904              0.1574               0.000
               773.0             0.05985              0.1566               0.000
               774.0             0.06065              0.1557               0.000
               775.0             0.06145              0.1549               0.000
               776.0             0.06226              0.1541               0.000
               777.0             0.06307              0.1533               0.000
               778.0             0.06388              0.1524               0.000
               779.0             0.06468              0.1516               0.000
               780.0             0.06550              0.1507               0.000
               781.0             0.06630              0.1498               0.000
               782.0             0.06710              0.1489               0.000
               783.0             0.06790              0.1481               0.000
               784.0             0.06871              0.1472               0.000
               785.0             0.06955              0.1464               0.000
               786.0             0.07039              0.1455               0.000
               787.0             0.07120              0.1447               0.000
               788.0             0.07199              0.1437               0.000
               789.0             0.07279              0.1428               0.000
               790.0             0.07358              0.1419               0.000
               791.0             0.07442              0.1411               0.000
               792.0             0.07525              0.1403               0.000
               793.0             0.07605              0.1394               0.000
               794.0             0.07684              0.1384               0.000
               795.0             0.07768              0.1376               0.000
               796.0             0.07851              0.1368               0.000
               797.0             0.07930              0.1359               0.000
               798.0             0.08009              0.1350               0.000
               799.0             0.08092              0.1341               0.000
               800.0             0.08174              0.1333               0.000
               801.0             0.08249              0.1324               0.000
               802.0             0.08324              0.1315               0.000
               803.0             0.08404              0.1306               0.000
               804.0             0.08483              0.1298               0.000
               805.0             0.08558              0.1289               0.000
               806.0             0.08633              0.1280               0.000
               807.0             0.08712              0.1271               0.000
               808.0             0.08792              0.1263               0.000
               809.0             0.08872              0.1255               0.000
               810.0             0.08951              0.1246               0.000
               811.0             0.09025              0.1237               0.000
               812.0             0.09099              0.1228               0.000
               813.0             0.09177              0.1219               0.000
               814.0             0.09256              0.1211               0.000
               815.0             0.09335              0.1203               0.000
               816.0             0.09413              0.1194               0.000
